Order Date,Category,Region,Quantity,Sales,Profit
2020-01-09,Technology,East,3,1080.11,273.11
2020-01-09,Technology,West,7,2687.47,522.07
2020-01-09,Furniture,West,12,1836.42,177.76
2020-01-09,Technology,Central,11,4760.38,1316.66
2020-01-09,Office Supplies,East,4,184.4,70.41
2020-01-10,Furniture,Central,3,879.68,476.72
2020-01-10,Furniture,South,9,2941.34,67.9
2020-01-10,Furniture,Central,2,670.6,210.68
2020-01-10,Furniture,East,2,599.53,-98.47
2020-01-10,Technology,Central,6,3196.91,828.43
2020-01-11,Office Supplies,West,1,55.45,20.54
2020-01-11,Technology,Central,10,4237.68,719.67
2020-01-11,Technology,South,7,3983.89,519.57
2020-01-11,Furniture,Central,10,2726.95,-1328.68
2020-01-11,Furniture,West,4,1039.87,73.38
2020-01-12,Technology,East,7,4117.37,294.65
2020-01-12,Office Supplies,Central,8,210.46,38.18
2020-01-12,Technology,Central,3,1216.51,165.17
2020-01-12,Technology,East,10,4069.62,1041.07
2020-01-12,Office Supplies,West,10,575.91,281.14
2020-01-12,Technology,South,4,2985.64,952.58
2020-01-12,Office Supplies,West,13,708.23,196.48
2020-01-13,Technology,South,14,4281.33,636.29
2020-01-13,Technology,East,10,2488.3,538.72
2020-01-13,Technology,East,2,187.89,70.97
2020-01-13,Office Supplies,South,14,887.55,240.48
2020-01-13,Technology,South,6,1826.98,59.47
2020-01-13,Technology,South,8,4741.12,731.56
2020-01-13,Office Supplies,Central,5,269.77,76.45
2020-01-14,Furniture,West,6,1570.53,140.75
2020-01-14,Office Supplies,West,14,752.75,181.93
2020-01-14,Office Supplies,West,13,340.25,102.51
2020-01-14,Office Supplies,South,4,237.64,74.66
2020-01-14,Technology,East,12,5088.26,1380.18
2020-01-14,Office Supplies,South,8,135.99,34.26
2020-01-14,Furniture,South,6,612.04,-7.62
2020-01-14,Technology,West,8,1909.05,7.13
2020-01-14,Furniture,West,2,654.54,4.85
2020-01-14,Office Supplies,South,8,165.63,35.01
2020-01-14,Furniture,Central,14,2888.33,547.59
2020-01-14,Office Supplies,Central,8,193.2,52.42
2020-01-14,Office Supplies,East,2,64.62,35.8
2020-01-15,Technology,East,1,233.13,55.23
2020-01-15,Technology,Central,4,1768.97,578.87
2020-01-15,Office Supplies,South,7,197.91,44.72
2020-01-15,Technology,East,2,561.3,75.13
2020-01-15,Technology,Central,9,4240.6,831.89
2020-01-15,Furniture,Central,4,335.98,33.37
2020-01-15,Technology,South,12,5779.44,780.59
2020-01-16,Furniture,Central,1,183.56,-12.7
2020-01-16,Office Supplies,Central,2,89.63,32.03
2020-01-16,Technology,West,5,2190.85,343.21
2020-01-16,Furniture,Central,11,3995.86,-21.16
2020-01-16,Technology,Central,11,5003.55,1622.89
2020-01-16,Furniture,South,6,402.76,1.0
2020-01-17,Technology,South,13,4028.82,1257.86
2020-01-17,Furniture,West,3,725.3,-224.02
2020-01-17,Technology,Central,14,5292.12,1562.7
2020-01-17,Technology,Central,14,7501.32,1451.94
2020-01-17,Technology,Central,2,1451.12,409.44
2020-01-17,Furniture,West,7,1235.84,-170.73
2020-01-17,Office Supplies,East,11,88.0,16.62
2020-01-17,Furniture,Central,6,1108.63,91.82
2020-01-17,Technology,East,10,4447.95,388.98
2020-01-17,Technology,East,1,449.47,59.15
2020-01-17,Furniture,South,4,1093.47,-337.56
2020-01-17,Furniture,West,5,2438.68,-521.56
2020-01-17,Furniture,South,8,3147.91,92.38
2020-01-17,Furniture,West,6,799.05,-86.71
2020-01-18,Technology,West,8,5099.38,780.65
2020-01-18,Furniture,South,8,2578.95,1280.43
2020-01-18,Office Supplies,Central,10,421.23,103.18
2020-01-18,Office Supplies,West,13,452.8,196.31
2020-01-18,Technology,West,5,208.17,11.59
2020-01-18,Technology,East,10,1212.71,372.92
2020-01-18,Technology,Central,3,1609.45,277.13
2020-01-18,Furniture,Central,14,3252.48,196.41
2020-01-18,Office Supplies,South,3,200.68,60.16
2020-01-19,Furniture,East,3,421.78,86.74
2020-01-19,Office Supplies,East,6,48.6,16.4
2020-01-19,Furniture,South,7,2414.5,-167.05
2020-01-19,Furniture,West,3,329.97,38.47
2020-01-19,Technology,South,6,1688.39,597.4
2020-01-19,Technology,South,3,1026.38,223.61
2020-01-20,Technology,East,9,5293.46,1659.38
2020-01-20,Technology,Central,5,2148.32,565.42
2020-01-20,Office Supplies,Central,6,190.67,34.34
2020-01-20,Office Supplies,Central,11,245.28,76.08
2020-01-20,Office Supplies,Central,11,392.5,79.33
2020-01-20,Furniture,East,3,925.55,89.99
2020-01-20,Office Supplies,South,3,129.51,12.51
2020-01-20,Office Supplies,East,12,287.34,58.36
2020-01-20,Furniture,Central,14,3004.11,370.45
2020-01-20,Technology,West,10,3569.42,355.4
2020-01-21,Technology,West,12,5594.41,1254.52
2020-01-21,Office Supplies,Central,9,421.35,209.44
2020-01-21,Furniture,East,2,498.69,-78.35
2020-01-21,Technology,West,2,1091.27,198.23
2020-01-21,Furniture,South,4,945.52,-138.63
2020-01-21,Furniture,South,12,3850.41,3102.7
2020-01-22,Technology,South,3,817.81,106.83
2020-01-22,Office Supplies,West,14,648.57,132.47
2020-01-22,Technology,South,1,558.18,90.36
2020-01-22,Office Supplies,West,3,103.79,22.85
2020-01-22,Furniture,West,6,783.21,389.61
2020-01-22,Office Supplies,South,3,182.17,62.03
2020-01-23,Office Supplies,West,9,380.65,147.37
2020-01-23,Furniture,South,4,1045.43,455.51
2020-01-24,Technology,South,2,755.11,125.69
2020-01-24,Furniture,East,14,2023.87,43.42
2020-01-24,Furniture,South,7,2497.13,146.15
2020-01-24,Furniture,South,6,1779.94,261.02
2020-01-24,Technology,East,11,5036.06,1781.78
2020-01-24,Technology,West,1,304.85,48.09
2020-01-24,Furniture,East,9,3038.36,741.58
2020-01-24,Technology,West,14,6199.64,1768.83
2020-01-24,Furniture,East,2,203.16,74.51
2020-01-24,Office Supplies,West,1,33.95,3.34
2020-01-24,Office Supplies,West,4,185.11,46.11
2020-01-25,Office Supplies,Central,6,294.91,67.69
2020-01-25,Technology,West,7,3371.96,131.75
2020-01-25,Furniture,South,2,694.97,-17.2
2020-01-25,Office Supplies,Central,3,104.69,23.07
2020-01-25,Furniture,West,3,608.33,47.94
2020-01-25,Furniture,East,1,175.65,25.5
2020-01-26,Technology,Central,8,5123.02,1062.56
2020-01-26,Technology,East,13,3412.32,914.29
2020-01-26,Furniture,West,7,1449.6,479.5
2020-01-26,Office Supplies,West,1,52.91,0.3
2020-01-26,Furniture,East,8,1156.07,328.13
2020-01-26,Technology,West,12,4610.71,930.83
2020-01-26,Technology,South,4,1376.36,168.94
2020-01-26,Technology,Central,6,2298.7,398.13
2020-01-26,Furniture,West,14,2252.85,1234.98
2020-01-26,Technology,South,2,793.84,137.9
2020-01-27,Furniture,West,2,653.18,276.42
2020-01-27,Technology,East,1,477.16,36.38
2020-01-27,Technology,East,2,798.21,213.02
2020-01-27,Office Supplies,Central,1,47.18,21.5
2020-01-27,Technology,South,11,4390.21,1395.44
2020-01-27,Technology,Central,8,64.0,10.95
2020-01-27,Technology,East,13,3720.45,965.51
2020-01-27,Furniture,South,4,32.0,11.12
2020-01-27,Technology,South,7,2235.19,311.18
2020-01-27,Office Supplies,West,6,169.47,67.04
2020-01-27,Office Supplies,Central,14,485.17,82.54
2020-01-27,Furniture,East,1,200.78,56.54
2020-01-28,Technology,West,8,2251.31,632.11
2020-01-28,Technology,Central,9,4897.65,1774.84
2020-01-28,Technology,East,4,722.66,259.79
2020-01-28,Furniture,West,7,1774.48,259.14
2020-01-28,Office Supplies,South,3,185.55,54.8
2020-01-28,Office Supplies,Central,12,203.77,56.54
2020-01-29,Technology,West,14,12540.19,2184.28
2020-01-29,Office Supplies,East,10,371.82,54.5
2020-01-29,Technology,East,7,1093.74,238.47
2020-01-29,Furniture,East,14,1800.14,167.57
2020-01-29,Technology,Central,5,1679.31,554.11
2020-01-29,Office Supplies,East,3,88.97,34.22
2020-01-29,Office Supplies,East,4,117.89,19.91
2020-01-29,Office Supplies,West,3,96.13,31.67
2020-01-29,Furniture,Central,5,1017.81,151.65
2020-01-30,Technology,East,6,1902.3,270.15
2020-01-30,Furniture,East,11,3161.93,-317.53
2020-01-30,Office Supplies,Central,5,137.43,34.9
2020-01-31,Furniture,South,5,1290.62,464.08
2020-01-31,Furniture,Central,10,1930.77,279.66
2020-01-31,Technology,Central,4,2639.26,12.96
2020-01-31,Furniture,Central,3,24.0,-3.68
2020-01-31,Office Supplies,East,9,417.92,135.76
2020-01-31,Office Supplies,West,10,452.18,79.08
2020-01-31,Furniture,South,2,574.1,-93.08
2020-01-31,Furniture,South,2,165.86,-2.5
2020-01-31,Technology,West,2,851.41,226.67
2020-01-31,Technology,West,14,4015.08,586.69
2020-01-31,Furniture,Central,9,1762.37,-210.48
2020-02-01,Technology,West,9,4356.24,-169.25
2020-02-01,Office Supplies,Central,2,165.34,51.21
2020-02-02,Technology,Central,14,7861.47,381.62
2020-02-02,Furniture,West,2,71.37,20.47
2020-02-02,Office Supplies,West,11,685.8,264.73
2020-02-02,Technology,West,14,1978.56,350.33
2020-02-02,Office Supplies,Central,1,8.0,2.29
2020-02-02,Furniture,South,5,927.46,-29.5
2020-02-03,Furniture,Central,8,1760.82,470.13
2020-02-03,Office Supplies,West,5,231.3,82.85
2020-02-03,Furniture,Central,2,468.66,15.45
2020-02-03,Furniture,South,5,1423.48,27.15
2020-02-03,Office Supplies,South,3,166.63,28.41
2020-02-03,Office Supplies,East,8,250.91,78.85
2020-02-04,Office Supplies,Central,11,307.3,83.57
2020-02-04,Furniture,East,8,1252.62,176.18
2020-02-04,Furniture,West,8,1510.31,304.48
2020-02-04,Office Supplies,West,12,455.68,111.59
2020-02-05,Technology,Central,14,3786.22,828.35
2020-02-05,Office Supplies,South,6,228.71,68.96
2020-02-05,Office Supplies,East,10,478.83,129.09
2020-02-05,Office Supplies,East,8,564.74,235.16
2020-02-05,Technology,West,3,883.93,192.16
2020-02-05,Furniture,East,5,1244.22,-243.31
2020-02-05,Furniture,Central,4,815.98,183.24
2020-02-06,Technology,East,3,813.55,178.04
2020-02-06,Technology,East,8,3365.59,-128.14
2020-02-06,Office Supplies,East,8,262.35,89.38
2020-02-06,Technology,West,2,352.29,16.9
2020-02-06,Technology,South,7,1572.23,303.78
2020-02-07,Office Supplies,East,14,767.79,181.93
2020-02-07,Office Supplies,South,9,552.31,122.87
2020-02-07,Technology,South,5,2204.45,629.87
2020-02-07,Office Supplies,West,10,600.95,214.81
2020-02-08,Technology,Central,14,4117.81,353.89
2020-02-08,Office Supplies,Central,5,222.27,91.41
2020-02-08,Furniture,West,1,319.5,119.74
2020-02-08,Office Supplies,East,14,609.76,153.74
2020-02-08,Technology,East,1,408.88,91.71
2020-02-08,Office Supplies,South,1,35.24,9.7
2020-02-09,Office Supplies,South,14,894.64,238.81
2020-02-09,Technology,East,6,1009.84,59.84
2020-02-09,Technology,East,9,4532.55,1130.21
2020-02-09,Furniture,South,6,1500.06,-125.75
2020-02-10,Technology,Central,8,2188.78,589.4
2020-02-10,Office Supplies,Central,6,338.11,108.57
2020-02-10,Office Supplies,Central,13,462.83,156.0
2020-02-10,Office Supplies,East,6,196.8,83.78
2020-02-10,Office Supplies,South,10,308.9,110.95
2020-02-10,Furniture,East,7,2044.25,-410.11
2020-02-10,Technology,South,1,486.65,105.91
2020-02-10,Office Supplies,West,5,160.7,59.05
2020-02-10,Furniture,East,6,1581.73,-87.47
2020-02-10,Furniture,South,4,403.71,11.43
2020-02-10,Technology,Central,1,299.2,81.74
2020-02-11,Office Supplies,Central,2,58.94,15.89
2020-02-11,Furniture,South,5,1120.77,403.62
2020-02-11,Furniture,South,7,2118.89,-380.59
2020-02-12,Technology,Central,3,2412.97,396.01
2020-02-12,Technology,East,13,3414.37,506.9
2020-02-12,Office Supplies,Central,4,139.8,55.17
2020-02-12,Office Supplies,Central,3,123.9,51.78
2020-02-12,Technology,West,7,2493.42,495.13
2020-02-12,Office Supplies,South,14,745.96,251.6
2020-02-12,Office Supplies,West,13,672.51,244.56
2020-02-13,Office Supplies,East,13,889.3,135.25
2020-02-13,Office Supplies,East,5,194.62,37.47
2020-02-13,Furniture,Central,8,834.27,-133.28
2020-02-13,Furniture,South,8,1522.07,123.1
2020-02-13,Technology,West,8,3225.63,300.62
2020-02-13,Technology,East,5,2486.99,358.84
2020-02-14,Furniture,South,4,891.36,187.39
2020-02-14,Office Supplies,East,8,427.84,160.65
2020-02-14,Furniture,Central,2,590.27,-21.68
2020-02-14,Furniture,East,12,2578.08,377.26
2020-02-14,Office Supplies,Central,6,101.23,34.03
2020-02-14,Furniture,Central,7,1243.91,-2.38
2020-02-15,Furniture,East,11,2099.51,-484.12
2020-02-15,Office Supplies,Central,6,151.27,41.8
2020-02-15,Office Supplies,South,5,80.63,34.63
2020-02-15,Technology,East,2,227.52,68.42
2020-02-16,Furniture,West,7,1925.25,191.94
2020-02-16,Technology,South,2,589.11,196.09
2020-02-16,Technology,West,14,2748.0,187.47
2020-02-16,Furniture,Central,6,1284.18,189.48
2020-02-16,Furniture,South,11,3299.91,514.3
2020-02-16,Office Supplies,West,12,629.64,186.43
2020-02-16,Furniture,West,4,546.25,-56.51
2020-02-17,Office Supplies,South,3,80.54,14.34
2020-02-17,Office Supplies,East,8,308.3,119.64
2020-02-17,Technology,West,4,1547.36,356.89
2020-02-17,Office Supplies,West,8,289.05,113.42
2020-02-17,Office Supplies,South,5,185.38,86.72
2020-02-17,Furniture,East,11,904.56,142.56
2020-02-17,Technology,West,2,1180.35,454.36
2020-02-18,Technology,East,6,3941.46,443.29
2020-02-18,Office Supplies,South,13,491.79,186.19
2020-02-18,Technology,Central,3,793.68,206.99
2020-02-18,Furniture,Central,6,1555.02,383.49
2020-02-18,Technology,West,7,2912.05,523.38
2020-02-18,Furniture,East,5,993.58,61.65
2020-02-18,Furniture,East,3,851.41,208.7
2020-02-18,Office Supplies,East,6,233.78,72.31
2020-02-19,Furniture,Central,4,1497.02,127.85
2020-02-19,Technology,Central,5,1102.54,214.64
2020-02-19,Furniture,West,11,2006.06,-22.23
2020-02-19,Office Supplies,East,12,569.58,247.55
2020-02-19,Technology,Central,13,3513.83,372.8
2020-02-20,Office Supplies,Central,6,369.27,164.09
2020-02-20,Technology,West,11,4601.48,870.36
2020-02-20,Technology,Central,9,4603.58,-192.79
2020-02-20,Furniture,East,10,1856.46,293.54
2020-02-20,Office Supplies,East,5,40.0,7.96
2020-02-20,Office Supplies,West,8,378.91,121.06
2020-02-21,Technology,West,9,3400.46,-192.95
2020-02-21,Furniture,Central,11,3275.8,120.12
2020-02-21,Furniture,East,6,2559.86,462.79
2020-02-21,Office Supplies,West,4,95.32,23.69
2020-02-21,Furniture,South,2,707.23,154.48
2020-02-21,Office Supplies,South,13,627.52,174.36
2020-02-21,Technology,West,14,6034.38,1245.01
2020-02-21,Office Supplies,South,13,563.44,172.31
2020-02-21,Technology,West,8,1928.5,189.79
2020-02-21,Furniture,South,14,3379.97,363.39
2020-02-21,Office Supplies,West,1,35.5,10.63
2020-02-22,Office Supplies,East,8,239.46,54.92
2020-02-22,Furniture,West,1,313.68,1.27
2020-02-22,Office Supplies,East,7,133.0,43.11
2020-02-22,Technology,South,2,537.33,131.15
2020-02-22,Furniture,East,1,233.5,62.36
2020-02-22,Office Supplies,West,4,60.89,23.11
2020-02-22,Technology,South,9,875.47,169.65
2020-02-22,Technology,West,8,5525.5,1849.76
2020-02-22,Office Supplies,South,7,267.82,91.1
2020-02-23,Furniture,East,5,964.52,172.79
2020-02-23,Technology,West,2,908.27,91.5
2020-02-23,Technology,Central,10,2154.64,675.98
2020-02-23,Furniture,Central,9,1422.59,669.78
2020-02-23,Office Supplies,South,14,561.55,116.61
2020-02-23,Technology,South,6,4644.31,529.1
2020-02-24,Office Supplies,East,13,284.99,62.02
2020-02-24,Office Supplies,West,2,77.49,25.03
2020-02-24,Technology,West,13,5360.32,1637.95
2020-02-24,Technology,South,1,390.96,58.58
2020-02-24,Furniture,South,11,2421.22,545.56
2020-02-24,Technology,West,10,1873.03,321.32
2020-02-24,Technology,Central,4,1846.44,-130.65
2020-02-24,Furniture,South,10,2587.08,794.46
2020-02-24,Technology,South,14,5222.46,1249.15
2020-02-24,Furniture,East,6,1124.11,-116.34
2020-02-25,Furniture,Central,13,4956.18,250.6
2020-02-25,Office Supplies,West,1,31.61,11.89
2020-02-25,Office Supplies,South,11,570.2,255.75
2020-02-25,Office Supplies,South,10,546.66,179.55
2020-02-25,Office Supplies,West,11,569.67,206.16
2020-02-25,Technology,West,4,1888.99,428.14
2020-02-26,Technology,Central,2,1104.44,47.52
2020-02-26,Office Supplies,East,3,110.88,29.3
2020-02-26,Furniture,Central,8,1583.6,168.62
2020-02-26,Office Supplies,East,5,202.82,79.43
2020-02-26,Office Supplies,East,5,196.09,31.27
2020-02-26,Technology,South,7,548.56,37.09
2020-02-26,Technology,East,4,1675.73,148.12
2020-02-27,Technology,South,7,3349.92,780.47
2020-02-27,Furniture,East,1,91.53,18.05
2020-02-27,Office Supplies,Central,6,233.61,18.12
2020-02-27,Furniture,Central,7,683.51,-4.51
2020-02-27,Technology,Central,4,262.21,47.98
2020-02-27,Office Supplies,West,8,242.12,82.48
2020-02-27,Technology,Central,10,2973.63,723.16
2020-02-27,Office Supplies,East,14,614.61,149.71
2020-02-27,Office Supplies,West,6,120.61,43.86
2020-02-28,Furniture,South,14,4693.58,653.95
2020-02-28,Furniture,West,5,90.47,5.8
2020-02-28,Office Supplies,Central,3,76.88,26.84
2020-02-28,Furniture,West,5,945.9,-47.23
2020-02-28,Office Supplies,East,6,214.77,96.08
2020-02-28,Office Supplies,South,6,238.44,99.12
2020-02-29,Office Supplies,West,10,324.76,146.09
2020-02-29,Furniture,West,7,1511.32,48.69
2020-02-29,Office Supplies,East,12,933.29,361.87
2020-02-29,Office Supplies,West,3,78.11,16.24
2020-02-29,Office Supplies,West,7,314.34,98.97
2020-02-29,Office Supplies,South,4,267.73,90.84
2020-02-29,Office Supplies,West,1,66.62,22.02
2020-02-29,Office Supplies,Central,11,549.85,199.5
2020-02-29,Technology,West,8,1882.4,121.85
2020-02-29,Technology,West,8,3344.99,187.9
2020-02-29,Office Supplies,East,2,77.95,27.57
2020-02-29,Office Supplies,West,14,141.96,31.8
2020-03-01,Furniture,South,13,2601.86,-464.16
2020-03-01,Technology,East,6,3389.21,326.61
2020-03-01,Office Supplies,South,3,217.56,64.15
2020-03-01,Technology,Central,4,2185.16,578.3
2020-03-01,Technology,West,4,2712.05,377.72
2020-03-01,Furniture,Central,2,912.79,-60.29
2020-03-01,Office Supplies,South,5,578.41,218.83
2020-03-01,Furniture,South,10,1681.91,373.32
2020-03-02,Technology,West,7,2902.76,544.35
2020-03-02,Technology,South,12,14106.64,3548.84
2020-03-02,Technology,East,8,2193.66,963.68
2020-03-02,Furniture,West,13,1430.43,106.35
2020-03-02,Office Supplies,South,9,730.75,135.4
2020-03-02,Furniture,West,2,596.86,27.32
2020-03-03,Office Supplies,East,10,555.5,152.23
2020-03-03,Office Supplies,Central,2,95.16,35.47
2020-03-03,Furniture,Central,3,788.56,-201.24
2020-03-03,Office Supplies,Central,9,144.62,50.3
2020-03-03,Technology,West,11,3550.71,702.19
2020-03-03,Technology,Central,5,3662.26,2176.24
2020-03-03,Technology,East,10,6145.45,533.98
2020-03-03,Furniture,South,14,5311.51,758.05
2020-03-04,Technology,Central,3,2067.3,397.05
2020-03-04,Technology,South,11,3281.41,-28.19
2020-03-04,Office Supplies,West,10,670.18,191.85
2020-03-05,Office Supplies,West,13,964.16,312.85
2020-03-05,Office Supplies,East,14,536.59,216.7
2020-03-05,Office Supplies,West,14,865.79,313.68
2020-03-05,Office Supplies,East,7,193.03,75.85
2020-03-05,Furniture,South,3,1210.77,327.98
2020-03-05,Furniture,Central,5,50.0,21.05
2020-03-05,Office Supplies,South,2,71.32,12.23
2020-03-05,Office Supplies,East,9,104.62,31.11
2020-03-06,Technology,East,11,5285.29,167.34
2020-03-06,Technology,West,9,3030.92,165.17
2020-03-06,Technology,South,11,5215.06,1345.41
2020-03-06,Furniture,Central,7,1094.55,229.88
2020-03-06,Office Supplies,South,5,284.36,35.17
2020-03-06,Office Supplies,East,8,434.61,135.45
2020-03-06,Technology,West,9,4512.88,1192.13
2020-03-06,Technology,East,14,9540.26,1539.86
2020-03-07,Office Supplies,West,9,406.99,107.17
2020-03-07,Office Supplies,Central,6,158.52,66.38
2020-03-07,Technology,Central,6,5367.05,329.54
2020-03-07,Technology,East,10,6246.83,2460.92
2020-03-07,Technology,West,8,4683.17,630.09
2020-03-07,Technology,South,14,5868.36,1174.73
2020-03-08,Office Supplies,East,6,202.7,35.32
2020-03-08,Technology,South,11,7122.56,1620.56
2020-03-08,Technology,Central,4,40.0,12.37
2020-03-08,Technology,West,14,7308.1,2656.53
2020-03-08,Furniture,East,14,6427.7,1340.53
2020-03-09,Office Supplies,South,12,312.17,117.05
2020-03-09,Technology,West,10,6190.06,892.96
2020-03-09,Furniture,East,6,1279.25,270.47
2020-03-09,Furniture,South,8,1809.01,-45.96
2020-03-09,Office Supplies,East,6,81.52,22.59
2020-03-09,Office Supplies,South,9,552.69,220.77
2020-03-10,Furniture,West,7,3064.93,-105.13
2020-03-10,Technology,West,11,5902.41,86.33
2020-03-10,Office Supplies,East,4,185.49,73.23
2020-03-10,Furniture,East,13,4299.63,1131.44
2020-03-11,Office Supplies,East,9,527.81,183.15
2020-03-11,Technology,West,7,1689.63,352.1
2020-03-11,Technology,West,1,289.5,-2.51
2020-03-11,Furniture,Central,9,2376.02,433.44
2020-03-11,Office Supplies,Central,3,177.16,56.5
2020-03-12,Furniture,East,9,2677.06,151.44
2020-03-12,Technology,East,2,2001.27,303.4
2020-03-12,Furniture,East,11,3826.55,502.11
2020-03-12,Furniture,Central,3,977.03,53.06
2020-03-12,Furniture,West,8,2285.78,-386.0
2020-03-12,Furniture,Central,4,555.6,-46.66
2020-03-12,Technology,West,2,639.75,168.79
2020-03-12,Furniture,South,6,2416.53,-372.77
2020-03-13,Furniture,South,6,727.72,-74.01
2020-03-13,Technology,South,6,4668.87,786.18
2020-03-13,Technology,South,4,3113.97,544.93
2020-03-13,Technology,East,6,1112.41,105.4
2020-03-13,Technology,West,8,3795.75,546.36
2020-03-14,Office Supplies,West,7,422.1,148.32
2020-03-14,Furniture,West,10,2023.38,267.19
2020-03-14,Furniture,East,9,1538.15,28.62
2020-03-14,Technology,West,1,152.46,31.79
2020-03-14,Office Supplies,East,2,116.71,36.1
2020-03-14,Furniture,West,9,5038.94,-1233.59
2020-03-14,Technology,South,2,1182.26,142.67
2020-03-15,Technology,West,10,7465.84,1241.76
2020-03-15,Technology,South,4,2795.44,630.3
2020-03-15,Technology,South,4,691.77,74.81
2020-03-15,Office Supplies,South,12,719.09,177.23
2020-03-15,Technology,West,5,1498.38,257.56
2020-03-15,Office Supplies,Central,1,77.83,21.7
2020-03-15,Furniture,East,10,3636.91,18.09
2020-03-16,Furniture,Central,14,3517.35,47.44
2020-03-16,Office Supplies,South,11,846.82,256.11
2020-03-16,Furniture,West,5,1725.25,82.21
2020-03-16,Furniture,East,9,2786.74,583.84
2020-03-16,Office Supplies,East,2,35.39,14.74
2020-03-16,Technology,West,8,2629.6,551.6
2020-03-16,Office Supplies,South,12,120.0,44.2
2020-03-16,Office Supplies,South,1,45.26,16.81
2020-03-16,Office Supplies,West,10,475.47,103.72
2020-03-17,Technology,South,13,8652.22,2424.64
2020-03-17,Furniture,West,5,1148.08,318.13
2020-03-17,Furniture,South,14,4247.72,-229.35
2020-03-17,Office Supplies,South,13,1022.74,116.63
2020-03-17,Technology,South,9,6553.61,416.9
2020-03-17,Technology,South,14,9295.93,2738.81
2020-03-17,Office Supplies,South,14,875.16,243.01
2020-03-17,Furniture,South,4,1101.31,19.62
2020-03-17,Furniture,East,3,1043.7,-73.8
2020-03-18,Office Supplies,Central,3,30.0,7.88
2020-03-18,Technology,East,9,6675.19,818.36
2020-03-18,Office Supplies,South,9,179.05,60.9
2020-03-18,Technology,East,7,2357.34,507.33
2020-03-18,Office Supplies,East,10,196.67,52.13
2020-03-18,Furniture,East,6,1916.29,189.18
2020-03-18,Technology,Central,5,2796.3,585.75
2020-03-18,Technology,South,7,4724.32,637.89
2020-03-18,Furniture,Central,10,1098.93,128.2
2020-03-19,Furniture,East,3,1070.79,122.43
2020-03-19,Office Supplies,South,13,849.28,376.48
2020-03-19,Technology,Central,11,4406.53,461.29
2020-03-19,Office Supplies,South,12,756.05,219.32
2020-03-19,Furniture,Central,12,4283.71,150.64
2020-03-20,Technology,East,13,6820.92,369.55
2020-03-20,Furniture,East,5,976.54,230.07
2020-03-20,Office Supplies,West,4,162.25,66.34
2020-03-20,Office Supplies,South,12,232.77,29.44
2020-03-20,Furniture,East,13,5253.44,1211.45
