Order Date,Sales,Profit,Quantity,year,month,day,day_of_week,is_weekend,is_holiday,sales_lag_1,sales_lag_7,sales_lag_30,rolling_mean_7d,rolling_mean_30d
2014-03-03,1345.8919999999998,-629.7988999999999,35,2014,3,3,0,0,1,202.384,55.672,468.9,538.6975714285715,260.0806333333333
2014-03-04,370.452,20.0778,8,2014,3,4,1,0,1,1345.8919999999998,0.0,211.646,591.6192857142858,265.37416666666667
2014-03-05,705.562,261.19010000000003,16,2014,3,5,2,0,0,370.452,0.0,97.112,692.4138571428572,285.6558333333333
2014-03-06,0.0,0.0,0,2014,3,6,3,0,0,705.562,19.456,134.384,689.6344285714285,281.17636666666664
2014-03-07,1561.062,134.1539,27,2014,3,7,4,0,0,0.0,0.0,0.0,912.6432857142856,333.2117666666666
2014-03-08,0.0,0.0,0,2014,3,8,5,1,0,1561.062,2203.151,330.512,597.9074285714286,322.1947
2014-03-09,0.0,0.0,0,2014,3,9,6,1,0,0.0,202.384,180.32,568.9954285714285,316.18403333333333
2014-03-10,741.956,4.188600000000001,9,2014,3,10,0,0,0,0.0,1345.8919999999998,14.56,482.7188571428572,340.43056666666666
2014-03-11,918.314,279.06100000000004,39,2014,3,11,1,0,0,741.956,370.452,0.0,560.9848571428571,371.0410333333333
2014-03-12,0.0,0.0,0,2014,3,12,2,0,0,918.314,705.562,0.0,460.1902857142857,371.0410333333333
2014-03-13,0.0,0.0,0,2014,3,13,3,0,0,0.0,0.0,2043.4,460.1902857142857,302.92769999999996
2014-03-14,2108.55,528.5024,38,2014,3,14,4,0,0,0.0,1561.062,129.568,538.4028571428572,368.8937666666667
2014-03-15,370.782,33.598,14,2014,3,15,5,1,0,2108.55,0.0,0.0,591.3717142857142,381.25316666666663
2014-03-16,471.92,29.495,2,2014,3,16,6,1,0,370.782,0.0,576.726,658.7888571428572,377.7596333333333
2014-03-17,3960.358,-831.8572,82,2014,3,17,0,0,0,471.92,741.956,21.36,1118.5605714285714,509.0595666666667
2014-03-18,28106.716,-954.7089,48,2014,3,18,1,0,0,3960.358,918.314,9.04,5002.618,1445.6487666666667
2014-03-19,590.762,68.6353,23,2014,3,19,2,0,0,28106.716,0.0,54.208,5087.012571428572,1463.5339
2014-03-20,0.0,0.0,0,2014,3,20,3,0,0,590.762,0.0,37.784,5087.012571428572,1462.2744333333333
2014-03-21,4109.816,1055.3735,39,2014,3,21,4,0,0,0.0,2108.55,0.0,5372.907714285714,1599.2683
2014-03-22,464.093,-50.9345,17,2014,3,22,5,1,0,4109.816,370.782,95.59,5386.237857142857,1611.5517333333332
2014-03-23,945.064,126.9224,11,2014,3,23,6,1,0,464.093,471.92,8.85,5453.829857142858,1642.7588666666666
2014-03-24,65.38,26.2758,7,2014,3,24,0,0,0,945.064,3960.358,19.44,4897.404428571428,1644.2902
2014-03-25,459.146,96.6684,21,2014,3,25,1,0,0,65.38,28106.716,11.364,947.7515714285713,1659.2162666666668
2014-03-26,145.13,30.7658,16,2014,3,26,2,0,0,459.146,590.762,55.672,884.0898571428571,1662.1981999999998
2014-03-27,0.0,0.0,0,2014,3,27,3,0,0,145.13,0.0,0.0,884.0898571428571,1662.1981999999998
2014-03-28,1823.804,-11.075400000000002,11,2014,3,28,4,0,0,0.0,4109.816,0.0,557.5167142857143,1722.9916666666663
2014-03-29,890.841,-152.7156,3,2014,3,29,5,1,0,1823.804,464.093,19.456,618.4807142857143,1752.037833333333
2014-03-30,1170.322,232.7529,39,2014,3,30,6,1,0,890.841,945.064,0.0,650.6604285714285,1791.0485666666666
2014-03-31,1959.552,355.1097,29,2014,3,31,0,0,0,1170.322,65.38,2203.151,921.2564285714285,1782.9286
2014-04-01,119.888,26.0896,12,2014,4,1,1,0,1,1959.552,459.146,202.384,872.7909999999999,1780.1787333333334
2014-04-02,1458.558,407.3962,29,2014,4,2,2,0,0,119.888,145.13,1345.8919999999998,1060.4235714285712,1783.9342666666666
2014-04-03,233.45,85.6044,7,2014,4,3,3,0,0,1458.558,0.0,370.452,1093.7735714285714,1779.3675333333333
2014-04-04,475.844,105.4521,25,2014,4,4,4,0,0,233.45,1823.804,705.562,901.207857142857,1771.7102666666665
2014-04-05,5295.098000000001,253.9044,54,2014,4,5,5,1,0,475.844,890.841,0.0,1530.3874285714285,1948.2135333333333
2014-04-06,1650.69,299.5152,38,2014,4,6,6,1,0,5295.098000000001,1170.322,1561.062,1599.0114285714285,1951.2011333333332
2014-04-07,1021.17,305.05600000000004,22,2014,4,7,0,0,0,1650.69,1959.552,0.0,1464.9568571428572,1985.2401333333332
2014-04-08,1958.75,359.8481,27,2014,4,8,1,0,0,1021.17,119.888,0.0,1727.6514285714286,2050.5317999999997
2014-04-09,0.0,0.0,0,2014,4,9,2,0,0,1958.75,1458.558,741.956,1519.286,2025.7999333333332
2014-04-10,0.0,0.0,0,2014,4,10,3,0,0,0.0,233.45,918.314,1485.936,1995.1894666666665
2014-04-11,1915.24,523.2729,37,2014,4,11,4,0,0,0.0,475.844,0.0,1691.564,2059.0308
2014-04-12,1912.123,152.6581,35,2014,4,12,5,1,1,1915.24,5295.098000000001,0.0,1208.2818571428572,2122.7682333333332
2014-04-13,638.576,-384.7942,42,2014,4,13,6,1,0,1912.123,1650.69,2108.55,1063.6941428571429,2073.7691
2014-04-14,0.0,0.0,0,2014,4,14,0,0,1,638.576,1021.17,370.782,917.8127142857144,2061.4097
2014-04-15,294.72,108.0,6,2014,4,15,1,0,0,0.0,1958.75,471.92,680.094142857143,2055.5030333333334
2014-04-16,39.072,9.768,6,2014,4,16,2,0,0,294.72,0.0,3960.358,685.6758571428571,1924.7935
2014-04-17,0.0,0.0,0,2014,4,17,3,0,0,39.072,0.0,28106.716,685.6758571428571,987.9029666666667
2014-04-18,1020.532,169.9374,26,2014,4,18,4,0,1,0.0,1915.24,590.762,557.8604285714285,1002.2286333333334
2014-04-19,205.47,87.5664,17,2014,4,19,5,1,0,1020.532,1912.123,0.0,314.05285714285714,1009.0776333333334
2014-04-20,1250.45,-194.4528,16,2014,4,20,6,1,0,205.47,638.576,4109.816,401.4634285714286,913.7654333333334
2014-04-21,845.36,5.5755,11,2014,4,21,0,0,1,1250.45,0.0,464.093,522.2291428571428,926.4743333333334
2014-04-22,257.752,124.7869,11,2014,4,22,1,0,0,845.36,294.72,945.064,516.948,903.5639333333332
2014-04-23,643.98,-0.305299999999999,20,2014,4,23,2,0,0,257.752,39.072,65.38,603.3634285714286,922.8506000000001
2014-04-24,0.0,0.0,0,2014,4,24,3,0,0,643.98,0.0,459.146,603.3634285714286,907.5457333333335
2014-04-25,2379.994,332.8671,21,2014,4,25,4,0,0,0.0,1020.532,145.13,797.5722857142857,982.0412
2014-04-26,282.568,40.745,16,2014,4,26,5,1,0,2379.994,205.47,0.0,808.5862857142857,991.4601333333334
2014-04-27,0.0,0.0,0,2014,4,27,6,1,0,282.568,1250.45,1823.804,629.9505714285715,930.6666666666666
2014-04-28,2578.476,292.1672,29,2014,4,28,0,0,0,0.0,845.36,890.841,877.5385714285715,986.9211666666667
2014-04-29,768.8439999999999,101.6814,16,2014,4,29,1,0,0,2578.476,257.752,1170.322,950.5517142857143,973.5385666666666
2014-04-30,1048.74,276.4956,13,2014,4,30,2,0,0,768.8439999999999,643.98,1959.552,1008.3745714285714,943.1781666666667
2014-05-01,0.0,0.0,0,2014,5,1,3,0,1,1048.74,0.0,119.888,1008.3745714285714,939.1819
2014-05-02,506.12,91.9572,5,2014,5,2,4,0,0,0.0,2379.994,1458.558,740.6782857142856,907.4339666666667
2014-05-03,72.632,28.8624,13,2014,5,3,5,1,0,506.12,282.568,233.45,710.6874285714285,902.0733666666667
2014-05-04,187.432,58.5624,25,2014,5,4,6,1,0,72.632,0.0,475.844,737.4634285714285,892.4596333333334
2014-05-05,260.977,34.5131,15,2014,5,5,0,0,0,187.432,2578.476,5295.098000000001,406.3921428571428,724.6556
2014-05-06,254.456,85.7158,16,2014,5,6,1,0,0,260.977,768.8439999999999,1650.69,332.9081428571427,678.1144666666667
2014-05-07,1091.35,215.8138,12,2014,5,7,2,0,0,254.456,1048.74,1021.17,338.99528571428567,680.4538
2014-05-08,1799.97,239.996,5,2014,5,8,3,0,0,1091.35,0.0,1958.75,596.1338571428571,675.1611333333333
2014-05-09,394.48,95.1736,25,2014,5,9,4,0,0,1799.97,506.12,0.0,580.1852857142857,688.3104666666666
2014-05-10,2343.799,57.82600000000002,34,2014,5,10,5,1,1,394.48,72.632,0.0,904.6377142857143,766.4371
2014-05-11,1642.802,-289.6088,32,2014,5,11,6,1,1,2343.799,187.432,1915.24,1112.5477142857142,757.3558333333334
2014-05-12,734.846,-119.2255,10,2014,5,12,0,0,1,1642.802,260.977,1912.123,1180.2432857142855,718.1132666666666
2014-05-13,898.382,-242.28369999999995,23,2014,5,13,1,0,0,734.846,254.456,638.576,1272.232714285714,726.7734666666668
2014-05-14,310.88,23.316,2,2014,5,14,2,0,0,898.382,1091.35,0.0,1160.7369999999999,737.1361333333334
2014-05-15,0.0,0.0,0,2014,5,15,3,0,0,310.88,1799.97,294.72,903.5984285714286,727.3121333333333
2014-05-16,289.28,20.85,8,2014,5,16,4,0,0,0.0,394.48,39.072,888.5698571428571,735.6524000000001
2014-05-17,91.68,45.84,3,2014,5,17,5,1,0,289.28,2343.799,0.0,566.8385714285713,738.7084
2014-05-18,948.948,-158.00400000000002,10,2014,5,18,6,1,0,91.68,1642.802,1020.532,467.7165714285713,736.3222666666667
2014-05-19,91.62,35.6472,14,2014,5,19,0,0,0,948.948,734.846,205.47,375.82714285714275,732.5272666666666
2014-05-20,320.10400000000004,62.0581,32,2014,5,20,1,0,0,91.62,898.382,1250.45,293.21599999999995,701.5157333333333
2014-05-21,4264.328,1719.5087,46,2014,5,21,2,0,0,320.10400000000004,310.88,845.36,857.9942857142858,815.4813333333333
2014-05-22,180.93,46.581,3,2014,5,22,3,0,0,4264.328,0.0,257.752,883.8414285714287,812.9206
2014-05-23,323.75800000000004,58.0502,23,2014,5,23,4,0,0,180.93,289.28,643.98,888.7668571428572,802.2465333333332
2014-05-24,116.28,56.9772,3,2014,5,24,5,1,1,323.75800000000004,91.68,0.0,892.2811428571429,806.1225333333333
2014-05-25,119.54,-183.7838,6,2014,5,25,6,1,0,116.28,948.948,2379.994,773.7942857142858,730.7740666666667
2014-05-26,1325.718,130.5086,21,2014,5,26,0,0,0,119.54,91.62,282.568,950.0939999999999,765.5457333333333
2014-05-27,2157.394,111.5408,33,2014,5,27,1,0,0,1325.718,320.10400000000004,0.0,1212.564,837.4588666666666
2014-05-28,221.968,59.3088,14,2014,5,28,2,0,0,2157.394,4264.328,2578.476,635.084,758.9086000000001
2014-05-29,0.0,0.0,0,2014,5,29,3,0,0,221.968,180.93,768.8439999999999,609.236857142857,733.2804666666667
2014-05-30,1924.913,222.0358,27,2014,5,30,4,0,0,0.0,323.75800000000004,1048.74,837.9732857142857,762.4862333333333
2014-05-31,773.7,230.9727,6,2014,5,31,5,1,0,1924.913,116.28,0.0,931.8904285714286,788.2762333333334
2014-06-01,5188.52,1576.7509,55,2014,6,1,6,1,0,773.7,119.54,506.12,1656.0304285714285,944.3562333333334
2014-06-02,738.598,218.3608,16,2014,6,2,0,0,0,5188.52,1325.718,72.632,1572.1561428571429,966.5550999999999
2014-06-03,741.336,96.1086,22,2014,6,3,1,0,0,738.598,2157.394,187.432,1369.8621428571428,985.0185666666667
2014-06-04,456.272,-6.493199999999999,12,2014,6,4,2,0,0,741.336,221.968,260.977,1403.3341428571428,991.5283999999999
2014-06-05,0.0,0.0,0,2014,6,5,3,0,0,456.272,0.0,254.456,1403.3341428571428,983.0465333333334
2014-06-06,1374.0010000000002,-265.2367,34,2014,6,6,4,0,0,0.0,1924.913,1091.35,1324.6324285714286,992.4682333333333
2014-06-07,281.397,-230.3316,6,2014,6,7,5,1,0,1374.0010000000002,773.7,1799.97,1254.3034285714286,941.8491333333334
2014-06-08,2501.264,193.365,14,2014,6,8,6,1,0,281.397,5188.52,394.48,870.4097142857144,1012.0752666666667
2014-06-09,5463.008,629.0289,66,2014,6,9,0,0,0,2501.264,738.598,2343.799,1545.3254285714286,1116.0489
2014-06-10,491.55,240.8595,5,2014,6,10,1,0,0,5463.008,741.336,1642.802,1509.6417142857142,1077.6738333333333
2014-06-11,0.0,0.0,0,2014,6,11,2,0,0,491.55,456.272,734.846,1444.4599999999998,1053.1789666666668
2014-06-12,0.0,0.0,0,2014,6,12,3,0,1,0.0,0.0,898.382,1444.4599999999998,1023.2329000000001
2014-06-13,14.52,4.7916,3,2014,6,13,4,0,0,0.0,1374.0010000000002,310.88,1250.2484285714286,1013.3542333333334
2014-06-14,212.94,57.4938,3,2014,6,14,5,1,0,14.52,281.397,0.0,1240.4688571428574,1020.4522333333333
2014-06-15,942.974,-78.24100000000001,11,2014,6,15,6,1,1,212.94,2501.264,289.28,1017.856,1042.2420333333334
2014-06-16,763.792,76.6876,20,2014,6,16,0,0,0,942.974,5463.008,91.68,346.5394285714286,1064.6457666666668
2014-06-17,3418.5020000000004,1126.6297000000002,16,2014,6,17,1,0,0,763.792,491.55,948.948,764.6754285714286,1146.9642333333334
2014-06-18,139.8,12.2325,5,2014,6,18,2,0,0,3418.5020000000004,0.0,91.62,784.6468571428571,1148.5702333333331
2014-06-19,0.0,0.0,0,2014,6,19,3,0,0,139.8,0.0,320.10400000000004,784.6468571428571,1137.9000999999998
2014-06-20,1828.9496,-62.9594,32,2014,6,20,4,0,1,0.0,14.52,4264.328,1043.8510857142858,1056.72082
2014-06-21,4107.443,849.4221,56,2014,6,21,5,1,0,1828.9496,212.94,180.93,1600.2086571428572,1187.6045866666668
2014-06-22,1975.498,40.2147,26,2014,6,22,6,1,0,4107.443,942.974,323.75800000000004,1747.7120857142856,1242.6625866666666
2014-06-23,109.496,3.1803000000000003,13,2014,6,23,0,0,1,1975.498,763.792,116.28,1654.2412285714288,1242.4364533333332
2014-06-24,4.272,0.9612,2,2014,6,24,1,0,0,109.496,3418.5020000000004,119.54,1166.4940857142858,1238.5941866666665
2014-06-25,792.76,49.7172,22,2014,6,25,2,0,1,4.272,139.8,1325.718,1259.7740857142858,1220.82892
2014-06-26,0.0,0.0,0,2014,6,26,3,0,0,792.76,0.0,2157.394,1259.7740857142858,1148.9157866666667
2014-06-27,616.14,76.1052,10,2014,6,27,4,0,0,0.0,1828.9496,221.968,1086.5155714285715,1162.0548533333333
2014-06-28,1645.791,109.762,24,2014,6,28,5,1,1,616.14,4107.443,0.0,734.851,1216.9145533333333
2014-06-29,46.68,8.557500000000001,10,2014,6,29,6,1,1,1645.791,1975.498,1924.913,459.3055714285714,1154.306786666667
2014-06-30,739.624,249.5572,38,2014,6,30,0,0,1,46.68,109.496,773.7,549.3238571428572,1153.17092
2014-07-01,601.0239999999999,75.33319999999999,13,2014,7,1,1,0,1,739.624,4.272,5188.52,634.5741428571428,1000.2543866666667
2014-07-02,79.56,22.1508,3,2014,7,2,2,0,0,601.0239999999999,792.76,738.598,532.6884285714285,978.2864533333334
2014-07-03,0.0,0.0,0,2014,7,3,3,0,1,79.56,0.0,741.336,532.6884285714285,953.5752533333333
2014-07-04,247.408,83.9448,14,2014,7,4,4,0,1,0.0,616.14,456.272,480.01242857142853,946.6131200000001
2014-07-05,1444.104,182.7936,41,2014,7,5,5,1,1,247.408,1645.791,0.0,451.19999999999993,994.7499200000001
2014-07-06,1038.472,222.8455,3,2014,7,6,6,1,0,1444.104,46.68,1374.0010000000002,592.8845714285715,983.56562
2014-07-07,241.194,-34.6598,4,2014,7,7,0,0,0,1038.472,739.624,281.397,521.6802857142857,982.22552
2014-07-08,763.0740000000001,-8.441999999999993,10,2014,7,8,1,0,1,241.194,601.0239999999999,2501.264,544.8302857142857,924.2858533333333
2014-07-09,265.521,57.2078,30,2014,7,9,2,0,1,763.0740000000001,79.56,5463.008,571.3961428571429,751.0362866666667
2014-07-10,0.0,0.0,0,2014,7,10,3,0,0,265.521,0.0,491.55,571.3961428571429,734.6512866666667
2014-07-11,2187.206,537.7298000000001,43,2014,7,11,4,0,0,0.0,247.408,0.0,848.5101428571428,807.5581533333334
2014-07-12,1960.012,88.45439999999999,58,2014,7,12,5,1,1,2187.206,1444.104,0.0,922.2112857142857,872.8918866666667
2014-07-13,351.216,4.3902,3,2014,7,13,6,1,1,1960.012,1038.472,14.52,824.0318571428571,884.1150866666667
2014-07-14,292.594,-31.1014,27,2014,7,14,0,0,0,351.216,241.194,212.94,831.3747142857143,886.7702200000001
2014-07-15,9.51,3.9882,6,2014,7,15,1,0,0,292.594,763.0740000000001,942.974,723.7227142857143,855.6547533333334
2014-07-16,0.0,0.0,0,2014,7,16,2,0,0,9.51,265.521,763.792,685.791142857143,830.19502
2014-07-17,0.0,0.0,0,2014,7,17,3,0,0,0.0,0.0,3418.5020000000004,685.791142857143,716.2449533333333
2014-07-18,273.04,-21.3948,6,2014,7,18,4,0,0,0.0,2187.206,139.8,412.33885714285714,720.6862866666668
2014-07-19,461.326,103.2062,8,2014,7,19,5,1,0,273.04,1960.012,0.0,198.24085714285715,736.0638200000001
2014-07-20,2285.786,162.1881,44,2014,7,20,6,1,0,461.326,351.216,1828.9496,474.60800000000006,751.2917000000001
2014-07-21,1961.482,34.126000000000005,24,2014,7,21,0,0,0,2285.786,292.594,4107.443,713.0205714285714,679.7596666666667
2014-07-22,1348.344,229.8348,31,2014,7,22,1,0,0,1961.482,9.51,1975.498,904.2825714285715,658.8545333333333
2014-07-23,2613.184,267.4844,43,2014,7,23,2,0,1,1348.344,0.0,109.496,1277.5945714285715,742.3108
2014-07-24,0.0,0.0,0,2014,7,24,3,0,1,2613.184,0.0,4.272,1277.5945714285715,742.1684
2014-07-25,8341.289999999999,384.5084,22,2014,7,25,4,0,1,0.0,273.04,792.76,2430.2017142857144,993.7860666666668
2014-07-26,5039.994,-3570.971,76,2014,7,26,5,1,0,8341.289999999999,461.326,0.0,3084.2971428571427,1161.7858666666666
2014-07-27,580.06,70.31219999999999,15,2014,7,27,6,1,0,5039.994,2285.786,616.14,2840.622,1160.5832
2014-07-28,193.152,34.6984,18,2014,7,28,0,0,0,580.06,1961.482,1645.791,2588.0034285714282,1112.1618999999998
2014-07-29,0.0,0.0,0,2014,7,29,1,0,0,193.152,1348.344,46.68,2395.3828571428567,1110.6058999999998
2014-07-30,1367.84,259.8896,8,2014,7,30,2,0,0,0.0,2613.184,739.624,2217.4765714285713,1131.5464333333332
2014-07-31,0.0,0.0,0,2014,7,31,3,0,0,1367.84,0.0,601.0239999999999,2217.4765714285713,1111.5122999999999
2014-08-01,228.328,66.475,15,2014,8,1,4,0,0,0.0,8341.289999999999,79.56,1058.482,1116.4712333333332
2014-08-02,886.28,248.0276,9,2014,8,2,5,1,0,228.328,5039.994,0.0,465.0942857142857,1146.0138999999997
2014-08-03,477.994,-76.7149,20,2014,8,3,6,1,0,886.28,580.06,247.408,450.51342857142856,1153.7001000000002
2014-08-04,2743.154,833.4829,51,2014,8,4,0,0,0,477.994,193.152,1444.104,814.7994285714285,1197.0017666666668
2014-08-05,2408.724,504.1059,37,2014,8,5,1,0,1,2743.154,0.0,1038.472,1158.902857142857,1242.6768333333334
2014-08-06,262.89,106.6392,5,2014,8,6,2,0,0,2408.724,1367.84,241.194,1001.0528571428571,1243.400033333333
2014-08-07,0.0,0.0,0,2014,8,7,3,0,0,262.89,0.0,763.0740000000001,1001.0528571428571,1217.9642333333331
2014-08-08,3955.629,1129.1342,55,2014,8,8,4,0,0,0.0,228.328,265.521,1533.5244285714286,1340.9678333333331
2014-08-09,3605.685,700.8938,35,2014,8,9,5,1,0,3955.629,886.28,0.0,1922.010857142857,1461.157333333333
2014-08-10,0.0,0.0,0,2014,8,10,6,1,1,3605.685,477.994,2187.206,1853.726,1388.2504666666666
2014-08-11,451.62,45.644400000000005,5,2014,8,11,0,0,0,0.0,2743.154,1960.012,1526.364,1337.9707333333333
2014-08-12,1832.38,357.593,61,2014,8,12,1,0,0,451.62,2408.724,351.216,1444.029142857143,1387.3428666666666
2014-08-13,0.0,0.0,0,2014,8,13,2,0,0,1832.38,262.89,292.594,1406.4734285714283,1377.5897333333332
2014-08-14,0.0,0.0,0,2014,8,14,3,0,0,0.0,0.0,9.51,1406.4734285714283,1377.272733333333
2014-08-15,842.7819999999999,118.1826,38,2014,8,15,4,0,1,0.0,3955.629,0.0,961.781,1405.3654666666664
2014-08-16,853.092,-227.4912,6,2014,8,16,5,1,0,842.7819999999999,3605.685,0.0,568.5534285714285,1433.8018666666665
2014-08-17,500.342,193.1836,23,2014,8,17,6,1,0,853.092,0.0,273.04,640.0308571428571,1441.3786
2014-08-18,0.0,0.0,0,2014,8,18,0,0,0,500.342,451.62,461.326,575.5137142857143,1426.0010666666667
2014-08-19,1439.106,175.4619,29,2014,8,19,1,0,0,0.0,1832.38,2285.786,519.3317142857143,1397.7784
2014-08-20,1838.722,569.8905,18,2014,8,20,2,0,0,1439.106,0.0,1961.482,782.0062857142857,1393.6863999999998
2014-08-21,0.0,0.0,0,2014,8,21,3,0,0,1838.722,0.0,1348.344,782.0062857142857,1348.7416
2014-08-22,23.104,4.878699999999999,6,2014,8,22,4,0,0,0.0,842.7819999999999,2613.184,664.9094285714285,1262.4055999999998
2014-08-23,565.224,160.4016,44,2014,8,23,5,1,0,23.104,853.092,0.0,623.7854285714286,1281.2464
2014-08-24,59.74,20.1332,10,2014,8,24,6,1,1,565.224,500.342,8341.289999999999,560.8422857142857,1005.1947333333333
2014-08-25,1451.65,118.84229999999998,67,2014,8,25,0,0,0,59.74,0.0,5039.994,768.2208571428572,885.5832666666666
2014-08-26,366.81,92.0889,22,2014,8,26,1,0,0,1451.65,1439.106,580.06,615.0357142857143,878.4749333333333
2014-08-27,2070.13,513.7323,23,2014,8,27,2,0,0,366.81,1838.722,193.152,648.094,941.0408666666666
2014-08-28,0.0,0.0,0,2014,8,28,3,0,0,2070.13,0.0,0.0,648.094,941.0408666666666
2014-08-29,832.3225,-376.4695,13,2014,8,29,4,0,0,0.0,23.104,1367.84,763.6966428571429,923.1902833333334
2014-08-30,121.24,21.485,8,2014,8,30,5,1,0,832.3225,565.224,0.0,700.2703571428572,927.2316166666666
2014-08-31,92.52,18.504,9,2014,8,31,6,1,0,121.24,59.74,228.328,704.9532142857144,922.7046833333334
2014-09-01,469.436,85.9402,17,2014,9,1,0,0,0,92.52,1451.65,886.28,564.6369285714287,908.8098833333333
2014-09-02,3254.15,916.2512,28,2014,9,2,1,0,0,469.436,366.81,477.994,977.1140714285715,1001.3484166666666
2014-09-03,22.08,-4.464,10,2014,9,3,2,0,0,3254.15,2070.13,2743.154,684.5355000000001,910.64595
2014-09-04,0.0,0.0,0,2014,9,4,3,0,0,22.08,0.0,2408.724,684.5355000000001,830.35515
2014-09-05,296.304,21.823,4,2014,9,5,4,0,0,0.0,832.3225,262.89,607.9614285714285,831.4689500000001
2014-09-06,100.36,39.6308,14,2014,9,6,5,1,0,296.304,121.24,0.0,604.9785714285715,834.8142833333334
2014-09-07,3523.875,-481.2463,78,2014,9,7,6,1,0,100.36,92.52,3955.629,1095.172142857143,820.4224833333334
2014-09-08,14228.428,-1452.6877,112,2014,9,8,0,0,0,3523.875,469.436,3605.685,3060.7424285714287,1174.5139166666668
2014-09-09,4043.588,16.361600000000088,56,2014,9,9,1,0,0,14228.428,3254.15,0.0,3173.5192857142856,1309.3001833333335
2014-09-10,1855.228,259.62080000000003,23,2014,9,10,2,0,0,4043.588,22.08,451.62,3435.397571428571,1356.0871166666666
2014-09-11,127.95,21.7515,3,2014,9,11,3,0,0,1855.228,0.0,1832.38,3453.676142857143,1299.2727833333336
2014-09-12,4904.66,600.8836,39,2014,9,12,4,0,0,127.95,296.304,0.0,4112.0127142857145,1462.7614500000002
2014-09-13,1275.408,243.8237,53,2014,9,13,5,1,0,4904.66,100.36,0.0,4279.876714285714,1505.2750500000002
2014-09-14,5023.716,1530.7599,77,2014,9,14,6,1,0,1275.408,3523.875,842.7819999999999,4494.139714285715,1644.6395166666669
2014-09-15,133.436,30.1722,9,2014,9,15,0,0,0,5023.716,14228.428,853.092,2480.5694285714285,1620.6509833333334
